name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor,viewing_angle,misc
Acer N Series AR32NSV53HD 32 inch HD Ready LED TV,"₹8,499",37,"32 in, LED TV",1366 x 768 pixels,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports","60 Hz, 16:9 Ratio",,
LG QNED81 65 inch Ultra HD 4K Smart QNED TV (65QNED81SQA),"₹1,29,990",75,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Alpha 7 Gen5 AI Processor  Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Hisense 55U7H 55 inch Ultra HD 4K Smart QLED TV,"₹44,990",62,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","AMD FreeSync Processor, 3 GB RAM",178 ° Viewing Angle,Supports Apps & Games
Blaupunkt 55QD7020 55 Inch 4K Ultra HD QLED Smart TV,"₹39,999",70,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"4 Speakers, 60 w Output",16 GB Storage,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony Bravia X75K 50 inch Ultra HD 4K Smart LED Google TV (KD-50X75K),"₹53,990",70,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",4K Processor X1 Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi X Series 55 inch 4K Ultra HD Smart LED TV,"₹39,999",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core A55 CPU
 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG UQ8020 55UQ8020PSB 55 inch Ultra HD 4K LED Smart TV,"₹49,990",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Hisense A6H 43 inch Ultra HD 4K Smart LED TV (43A6H),"₹27,990",62,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Hisense A6H 55 inch Ultra HD 4K Smart LED TV (55A6H),"₹35,490",68,"55 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Sony Bravia XR-65X90K 65 inch Ultra HD 4K Smart Full Array LED TV,"₹1,41,000",80,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",Supports Apps & Games
Toshiba 32V35KP 32 inch Full HD Smart TV,"₹13,990",52,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Panasonic TH-55LX750DX 55-Inch Ultra HD 4K Smart LED TV,"₹58,500",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
OnePlus Y1S 43 inch Full HD Smart LED TV,"₹24,999",57,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Kodak 7XPro 43UHDX7XPROBL 43-inch Ultra HD 4K Smart LED TV,"₹19,999",69,"42.52 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex A53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Acer P Series AR32AP2841HDFL 32 inch HD Ready Smart LED TV,"₹11,499",49,"31.5 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex-A53 x 4 64 Bit Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Motorola Revou-Q 55UHDAQMDT5Q 55-inch Ultra HD 4K Smart QLED TV,"₹40,999",75,"54.72 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output","1.1 GHz Quad Core Processor Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Realme TV Neo 32-inch HD Ready Smart LED TV,"₹11,999",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","A35 Processor, 512 MB RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
TCL C725 65-inch Ultra HD 4K Smart QLED TV,"₹63,990",79,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Realme RMV2003 32-inch Full HD Smart LED TV,"₹16,499",55,"32 in, LED TV","Full HD, 1080 x 1920 pixels",Wifi,Smart TV,"4 Speakers, 24 w Output","A53  Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung Crystal 4K Pro UA43AUE70AKLXL 43-inch Ultra HD 4K Smart LED TV,"₹30,999",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
VW VW32S 32-inch HD Ready Smart LED TV,"₹7,999",43,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
Sansui JSW40ASFHD 40 inch Full HD Smart LED TV,"₹16,990",54,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sansui JSW55ASUHD 55 inch Ultra HD 4K Smart LED TV,"₹30,990",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Kodak 32HDX7XPRO 32-inch HD Ready Smart LED TV,"₹9,499",51,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Redmi MAX 98-inch Ultra HD 4K Smart LED TV,"₹2,15,999",79,"98 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 40 w Output","4 Processor, 4 GB RAM, 64 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
OnePlus Q1 Pro 55-inch Ultra HD 4K Smart LED TV(55Q1IN),"₹64,899",80,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 50 w Output","ARM Cortex-A53 Processor, 3 GB RAM, 8 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports"
Yuwa Y-32S-FL 32 inch HD Ready Smart LED TV (2023 Model),"₹8,456",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 12 w Output","Cortex A53 Processor, 1 GB RAM, 8 GB Storage","Curved Screen, 178 ° Viewing Angle","1 HDMI Ports, 2 USB Ports"
Kodak Matrix 50 inch Ultra HD 4K Smart QLED TV,"₹33,999",69,"50 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","MediaTek MT9062 Processor, 2 GB RAM, 16 GB Storage","3 HDMI Ports, 2 USB Ports",3D TV: No
BeethoSOL SMTBG43FHDEK 43 inch Full HD Smart LED TV,"₹14,299",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
BPL 43F-A4301 43 inch Full HD Smart LED TV,"₹22,699",50,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 18 w Output","2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support,"60 Hz, 16:9 Ratio"
LG B2 55 inch Ultra HD 4K Smart OLED TV (OLED55B2PSA),"₹1,25,999",79,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",α7 Gen5 AI Processor 4K Processor,"Ultra Slim, 178 ° Viewing Angle","4 HDMI Ports, 2 USB Ports"
LeTV G55ES 55 inch Ultra HD 4K Smart LED TV,"₹18,990",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","dual-core A73 + dual-core A53 Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Coocaa 32Z72 32 inch HD Ready Smart LED Google TV,"₹10,999",43,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Cortex A55*4 - 1.5GHz Processor,178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
T-Series TX-80K BL 32 inch HD Ready Smart LED TV,"₹10,490",41,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 6 w Output","512 RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Lloyd 75QX900D 75 inch Ultra HD 4K Smart QLED TV,"₹1,14,999",80,"75 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","64-bit Cortex-A55
 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Kodak 55MT5022 55 inch Ultra HD 4K Smart LED TV,"₹35,999",66,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 40 w Output",16 GB Storage,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 32LQ636B 32 inch HD Ready Smart LED  TV,"₹17,319",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Panasonic TH-55LX850DX 55 inch Ultra HD 4K Smart LED TV,"₹67,129",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",2 GB RAM,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Lloyd 32HS550D 32-inch HD Ready Smart LED TV,"₹15,490",47,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Samsung AUE65 55 inch Ultra HD 4K Smart LED TV (UA55AUE65AKXXL),"₹47,990",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",Screen Mirroring / Miracast Support
Acer AR43AR2851UDPRO 43 inch Ultra HD 4K Smart LED TV,"₹26,999",74,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Zebronics ZEB-55W2 55 inch Ultra HD 4K Smart LED TV,"₹72,999",60,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA55 Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"60 Hz, 16:9 Ratio"
LG NanoCell 55NANO75SQA 55 inch Ultra HD 4K Smart LED TV,"₹79,990",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
LG UQ8020 43UQ8020PSB 43 inch Ultra HD 4K LED Smart TV,"₹35,990",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG C2 77 inch Ultra HD 4K OLED Smart TV (OLED77C2PSC),"₹4,39,999",86,"77 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Supports Apps & Games
LG C2X OLED48C2XSA 48-inch Ultra HD 4K Smart OLED TV,"₹1,14,990",80,"48 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Supports Apps & Games
Karbonn KJW32SKHD 32 inch HD Ready Smart LED TV,"₹8,990",51,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad-Core A53 1.5GHz Processor Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Hisense A6H 50 inch Ultra HD 4K Smart LED TV (50A6H),"₹32,990",63,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Toshiba 55C350LP 55 inch Ultra HD 4K Smart LED TV,"₹34,990",64,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",REGZA Engine 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
TCL 43C635 43 inch Ultra HD 4K Smart LED TV,"₹34,990",66,"43 in, QLED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
TCL 55C635 55 inch Ultra HD 4K Smart QLED TV,"₹44,990",65,"55 in, QLED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Hisense 55U8G 55-inch Ultra HD 4K Smart ULED TV,"₹45,990",69,"55 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",Supports Apps & Games
Dyanora DY-LD24H4S 24 Inch HD Ready LED TV,"₹6,399",44,"24.02 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad-Core Processor Processor, 512 MB RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Westinghouse WH32PL09 32 Inch HD Ready Smart LED TV,"₹6,999",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,2 HDMI Ports
Xiaomi Mi TV EA Pro 55 inch Ultra HD 4K Smart LED TV,"₹23,490",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","MT9638 Chip Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sansui Neo JSW32CSHD 32-inch HD Ready Smart LED TV,"₹9,999",46,"31.5 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Mali G31 Processor, 512 MB RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
LG 32LQ573BPSA 32 Inch HD Ready Smart LED TV,"₹17,940",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",Screen Mirroring / Miracast Support
Croma CREL055USA024601 55-Inch Ultra HD 4K Smart LED TV,"₹33,990",62,"55 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
CompaQ Hueq X 43 inch Full HD Smart LED TV (CQV43FDS),"₹25,990",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 14 w Output",Quad Core Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung UA85BU8000KXXL 85 inch Ultra HD 4K Smart LED TV,"₹3,64,990",83,"85 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Croma CREL032HOF024601 32 Inch HD Ready Smart LED TV,"₹12,990",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
ONIDA 32IV 32 inch HD Ready Smart LED TV,"₹11,999",45,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Infinix X3 32 inch HD Ready Smart LED TV,"₹10,499",53,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Realtek RTD2841 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Vu 65QMP 65 inch Ultra HD 4K Smart QLED TV,"₹84,990",81,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4.1 Speakers, 100 w Output","3 GB RAM, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Samsung QA98QN90AAKXXL 98 Inch Ultra HD 4K Smart LED TV,"₹16,74,000",88,"95 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 60 w Output",Neo Quantum Processor 4K Processor,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Adsun Frameless A-3210S/F 32 inch HD Ready  Smart LED TV,"₹7,999",44,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1 GB RAM, 8 GB Storage","2 HDMI Ports, 2 USB Ports",Supports Apps & Games
OnePlus Y1S Edge 43 inch Full HD Smart LED TV,"₹25,999",57,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sony Bravia XR-65A95K 65 inch Ultra HD 4K Smart OLED TV,"₹2,89,990",83,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,Cognitive Processor XR Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Xiaomi Mi TV EA70 2022 70 inch Ultra HD 4K Smart LED TV,"₹49,999",72,"70 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A35 Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG NanoCell 55NANO75TPZ 55-inch Ultra HD 4K Smart LED TV,"₹59,990",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG NanoCell 50NANO75TPZ 50-inch Ultra HD 4K Smart LED TV,"₹57,999",70,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Foxsky 32FS-VS 32-inch Full HD Smart LED TV,"₹7,999",53,"32 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 30 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Itel G5534IE 55-inch Ultra HD 4K Smart LED TV,"₹46,999",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Cortex A53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung Crystal 55AU7500 55-inch Ultra HD 4K Smart LED TV,"₹50,480",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
Samsung Crystal 65AU7700 65-inch Ultra HD 4K Smart LED TV,"₹82,750",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
OnePlus U1S 50-inch Ultra HD 4K Smart LED TV,"₹37,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Cortex-A55 x 4 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony X75 KD-43X75 43-inch Ultra HD 4K Smart LED TV,"₹44,990",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
OnePlus U1S 55-inch Ultra HD 4K Smart LED TV,"₹42,999",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 30 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
OnePlus 40Y1 40 inch Full HD Smart LED TV,"₹21,999",54,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex-A53 x 4 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Samsung Crystal 4K UA55AUE60AKLXL 55-inch Ultra HD 4K Smart LED TV,"₹45,990",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Croma CREL7369 32-inch HD Ready LED TV,"₹7,490",36,"32 in, LED TV",1366 x 768 pixels,Smart TV: No,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No,"60 Hz, 16 : 9 Ratio"
Hisense Tornado 55-inch Ultra HD 4K Smart LED TV,"₹43,990",76,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","Cortex-A53  Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony Bravia KD-55X7002G 55-inch Ultra HD 4K Smart LED TV,"₹49,999",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",1 GB RAM,178 ° Viewing Angle,"3 HDMI Ports, 3 USB Ports"
Oppo TV R1 55-inch Ultra HD 4K Smart LED TV,"₹38,999",63,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 32 GB Storage",178 ° Viewing Angle,"1 HDMI Ports, 2 USB Ports"
Haier LE32K6600GA 32-inch HD Ready Smart AI Plus LED TV,"₹16,999",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Samsung 32T4350 32-inch HD Ready Smart LED TV,"₹16,500",44,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
TCL 65C815 65-inch Ultra HD 4K Smart QLED TV,"₹64,990",75,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A55 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Redmi X55 55-inch Ultra HD 4K Smart LED TV,"₹39,999",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","MediaTek MT9611 Cortex-A55 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Mi TV 5 75-inch Ultra HD 4K Smart QLED TV,"₹80,990",73,"75 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,4 Speakers,"Amlogic T972  Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 32LM576BPTC 32-inch HD Ready Smart LED TV,"₹23,490",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
